Year,SumPcpn,SumEGDD_C,SumHeatD,SumFrostD,AvgSI,AvgPrcnAWHC,NDVI,Yield,Area
1987_18_20,1.8833333333333335,51.291666666666664,0.3333333333333333,2.0,0.6649999999999997,0.6952380952380953,0.196948826487667,22.4,26000.0
1987_19_21,2.35,48.375,0.3333333333333333,2.0,0.654285714285714,0.6473809523809523,0.248205406538,22.4,26000.0
1987_20_22,12.75,55.208333333333336,0.3333333333333333,1.6666666666666667,0.6128571428571427,0.6333333333333333,0.29656746297833303,22.4,26000.0
1987_21_23,17.25,55.525,0.0,1.3333333333333333,0.542142857142857,0.669047619047619,0.33571547918399997,22.4,26000.0
1987_22_24,18.95,74.425,0.3333333333333333,0.3333333333333333,0.3947619047619047,0.6914285714285717,0.382992106733667,22.4,26000.0
1987_23_25,13.0,86.575,1.3333333333333333,0.3333333333333333,0.25428571428571434,0.6464285714285717,0.448003758033,22.4,26000.0
1987_24_26,11.733333333333334,95.24166666666667,1.3333333333333333,0.0,0.16357142857142867,0.5423809523809526,0.5082172534226671,22.4,26000.0
1987_25_27,30.46666666666667,94.10833333333333,1.0,0.0,0.14119047619047634,0.4835714285714287,0.555191897178,22.4,26000.0
1987_26_28,40.666666666666664,80.11666666666666,0.0,0.0,0.08190476190476197,0.555952380952381,0.575602808047,22.4,26000.0
1987_27_29,50.449999999999996,78.75833333333334,0.0,0.0,0.012380952380952397,0.6638095238095237,0.581991296451667,22.4,26000.0
1987_28_30,32.9,78.275,0.0,0.0,-0.029285714285714266,0.730952380952381,0.5784530734843331,22.4,26000.0
1987_29_31,20.116666666666667,94.73333333333333,1.0,0.0,-0.020238095238095232,0.6511904761904762,0.562920787929667,22.4,26000.0
1987_30_32,13.533333333333333,95.60833333333335,1.0,0.0,0.008571428571428567,0.534761904761905,0.537695934618667,22.4,26000.0
1987_31_33,19.583333333333332,88.06666666666666,1.0,0.0,0.11285714285714292,0.4661904761904763,0.503202305113,22.4,26000.0
1987_32_34,21.8,66.35833333333333,0.0,0.16666666666666666,0.2995238095238096,0.477857142857143,0.47442007544,22.4,26000.0
1987_33_35,14.316666666666665,61.975,0.0,0.16666666666666666,0.484047619047619,0.49952380952380965,0.45595896898566707,22.4,26000.0
1987_34_36,5.283333333333334,65.14999999999999,0.0,0.5,0.6123809523809522,0.48571428571428577,0.434040011176333,22.4,26000.0
1987_35_37,2.9333333333333336,61.05833333333334,0.0,0.6666666666666666,0.6540476190476189,0.4545238095238094,0.40256511595399996,22.4,26000.0
1987_36_38,12.483333333333334,57.01666666666667,0.0,0.6666666666666666,0.6547619047619047,0.4814285714285713,0.359898505169,22.4,26000.0
1988_18_20,14.533333333333331,36.15833333333333,0.0,2.6666666666666665,0.553809523809524,0.8902380952380957,0.169650810282,23.9,49000.0
