Year,SumPcpn,SumEGDD_C,SumHeatD,SumFrostD,AvgSI,AvgPrcnAWHC,NDVI,Yield,Area
1987_18_20,2.4333333333333336,67.36666666666667,0.6666666666666666,1.0833333333333333,0.6886904761904761,0.35607142857142865,0.14140761523499998,29.3,1286820.0
1987_19_21,1.6083333333333332,61.88333333333333,0.6666666666666666,1.0,0.6563095238095237,0.33059523809523833,0.161276662854,29.3,1286820.0
1987_20_22,16.474999999999998,64.42083333333333,0.3333333333333333,0.75,0.6119047619047621,0.3340476190476193,0.182955350788333,29.3,1286820.0
1987_21_23,19.125,66.95833333333333,0.5833333333333334,0.3333333333333333,0.5161904761904763,0.3564285714285716,0.211910805372333,29.3,1286820.0
1987_22_24,20.525000000000002,85.84166666666665,1.5833333333333333,0.0,0.3820238095238097,0.367619047619048,0.253856537028,29.3,1286820.0
1987_23_25,10.308333333333334,98.71666666666665,2.8333333333333335,0.0,0.29273809523809535,0.33202380952380967,0.314180943908,29.3,1286820.0
1987_24_26,12.983333333333334,99.6375,2.25,0.0,0.25964285714285734,0.27666666666666667,0.3691620699883329,29.3,1286820.0
1987_25_27,19.083333333333332,95.825,1.3333333333333333,0.0,0.2501190476190477,0.24,0.408140272835333,29.3,1286820.0
1987_26_28,18.208333333333332,82.76666666666667,0.08333333333333333,0.0,0.229404761904762,0.222857142857143,0.42255477461466706,29.3,1286820.0
1987_27_29,23.441666666666666,83.84583333333333,0.3333333333333333,0.0,0.24678571428571436,0.209761904761905,0.43024813802766704,29.3,1286820.0
1987_28_30,17.758333333333336,83.45,0.8333333333333334,0.0,0.25619047619047636,0.20535714285714302,0.4349483901033329,29.3,1286820.0
1987_29_31,18.416666666666668,97.54166666666667,1.5833333333333333,0.0,0.276547619047619,0.18821428571428567,0.42765789484833294,29.3,1286820.0
1987_30_32,8.341666666666667,99.22083333333335,1.4166666666666667,0.0,0.3647619047619046,0.16357142857142834,0.403981530672667,29.3,1286820.0
1987_31_33,9.591666666666667,94.03750000000001,1.0833333333333333,0.0,0.5535714285714287,0.13607142857142832,0.35459030672766706,29.3,1286820.0
1987_32_34,6.458333333333333,73.91250000000001,0.5,0.08333333333333333,0.7113095238095241,0.13,0.30578759320466703,29.3,1286820.0
1987_33_35,10.033333333333333,66.8125,0.4166666666666667,0.08333333333333333,0.7832142857142861,0.141904761904762,0.269687561430333,29.3,1286820.0
1987_34_36,5.849999999999999,71.40416666666667,0.5,0.08333333333333333,0.7666666666666666,0.15226190476190468,0.244603312998,29.3,1286820.0
1987_35_37,6.849999999999999,65.01666666666667,0.3333333333333333,0.75,0.7641666666666667,0.15690476190476166,0.219288425690667,29.3,1286820.0
1987_36_38,4.466666666666667,60.24166666666667,0.3333333333333333,1.5,0.7569047619047616,0.163333333333333,0.18983181452300002,29.3,1286820.0
1988_18_20,7.325,49.875,0.0,2.0833333333333335,0.7277380952380953,0.29476190476190467,0.151783093967333,13.9,1184094.0
1988_19_21,7.2250000000000005,76.39583333333333,0.6666666666666666,0.6666666666666666,0.6901190476190476,0.29404761904761895,0.168976887392,13.9,1184094.0
1988_20_22,3.466666666666667,94.825,2.0,0.3333333333333333,0.6439285714285713,0.2764285714285713,0.192900705389,13.9,1184094.0
1988_21_23,9.158333333333333,102.8,3.0,0.0,0.5251190476190474,0.24642857142857133,0.226995341891,13.9,1184094.0
1988_22_24,9.108333333333334,100.96666666666665,3.25,0.0,0.4374999999999996,0.21476190476190463,0.27356775970166697,13.9,1184094.0
1988_23_25,9.308333333333335,107.29166666666667,3.1666666666666665,0.0,0.4041666666666663,0.170595238095238,0.313974029825333,13.9,1184094.0
1988_24_26,9.058333333333334,113.79166666666667,3.25,0.0,0.480595238095238,0.1305952380952381,0.345191476021,13.9,1184094.0
1988_25_27,14.416666666666666,112.75833333333333,2.5833333333333335,0.0,0.49714285714285705,0.11654761904761875,0.36308181028633296,13.9,1184094.0
1988_26_28,16.49166666666667,101.13333333333333,1.3333333333333333,0.0,0.486904761904762,0.11440476190476177,0.37893347737666705,13.9,1184094.0
1988_27_29,10.558333333333334,96.32083333333333,1.25,0.0,0.493452380952381,0.10238095238095224,0.3804323843416671,13.9,1184094.0
1988_28_30,3.5500000000000003,104.66666666666667,2.5833333333333335,0.0,0.6140476190476193,0.06273809523809523,0.36065627436033293,13.9,1184094.0
1988_29_31,9.141666666666667,108.52500000000002,3.5,0.0,0.7154761904761906,0.060357142857142866,0.32027072530066697,13.9,1184094.0
1988_30_32,9.833333333333334,108.80416666666667,3.0833333333333335,0.0,0.795357142857143,0.0710714285714286,0.278485186832667,13.9,1184094.0
1988_31_33,21.458333333333332,99.40833333333335,1.8333333333333333,0.0,0.785357142857143,0.11797619047619061,0.246553226148,13.9,1184094.0
1988_32_34,13.708333333333336,87.64999999999999,0.9166666666666666,0.25,0.7527380952380952,0.15297619047619063,0.23112895060166697,13.9,1184094.0
1988_33_35,13.016666666666667,79.41666666666667,0.3333333333333333,0.25,0.715357142857143,0.18250000000000002,0.21999087654633304,13.9,1184094.0
