Year,SumPcpn,SumEGDD_C,SumHeatD,SumFrostD,AvgSI,AvgPrcnAWHC,NDVI,Yield,Area
1987_36_38,7.85555555555558,56.394444444444396,0.22222222222222232,0.9999999999999977,0.7265079365079368,0.23047619047619036,0.29307854549033296,28.3,757803.0
1988_18_20,13.688888888888899,39.90555555555553,0.0,2.4444444444444433,0.6036507936507937,0.6971428571428574,0.158714446952333,20.1,673136.0
1988_19_21,10.7111111111111,66.22222222222217,0.3333333333333333,1.3333333333333333,0.5998412698412697,0.6842857142857143,0.19704496679400002,20.1,673136.0
1988_20_22,4.744444444444434,95.77222222222207,1.88888888888889,0.3333333333333333,0.590952380952381,0.647301587301587,0.25170651356033297,20.1,673136.0
1988_21_23,6.92222222222221,109.58333333333307,2.4444444444444464,0.0,0.5460317460317463,0.5787301587301587,0.316055353813,20.1,673136.0
1988_22_24,5.566666666666666,108.23888888888867,2.8888888888888897,0.0,0.47539682539682565,0.5004761904761903,0.38277380835566704,20.1,673136.0
1988_23_25,7.177777777777777,102.08888888888866,2.0,0.0,0.42682539682539694,0.40904761904761894,0.43657414204866707,20.1,673136.0
1988_24_26,6.422222222222223,101.311111111111,1.5555555555555545,0.0,0.434920634920635,0.317301587301587,0.48013268884733296,20.1,673136.0
1988_25_27,10.188888888888867,102.70555555555545,0.7777777777777777,0.0,0.45365079365079364,0.23857142857142832,0.5133733634309999,20.1,673136.0
1988_26_28,13.644444444444423,93.61666666666667,0.11111111111111101,0.0,0.44873015873015865,0.18777777777777768,0.538609912650667,20.1,673136.0
1988_27_29,11.777777777777757,89.7611111111111,0.4444444444444433,0.0,0.486031746031746,0.14285714285714288,0.551691710014,20.1,673136.0
1988_28_30,5.977777777777779,96.38333333333333,1.4444444444444435,0.0,0.624761904761905,0.08650793650793653,0.5456181110346671,20.1,673136.0
1988_29_31,7.766666666666679,100.43888888888887,1.8888888888888868,0.0,0.6715873015873016,0.07317460317460321,0.517488117905,20.1,673136.0
1988_30_32,9.644444444444455,99.5222222222222,1.6666666666666659,0.0,0.7258730158730161,0.0674603174603175,0.47037255537033296,20.1,673136.0
1988_31_33,27.777777777777768,90.17777777777776,0.7777777777777767,0.0,0.625873015873016,0.16571428571428584,0.416459341774,20.1,673136.0
1988_32_34,23.388888888888868,80.9388888888889,0.3333333333333333,0.11111111111111101,0.6144444444444447,0.2747619047619048,0.3737889030656671,20.1,673136.0
1988_33_35,20.9222222222222,74.14999999999999,0.11111111111111101,0.11111111111111101,0.5738095238095237,0.383015873015873,0.34453737363833303,20.1,673136.0
1988_34_36,2.81111111111111,61.56666666666666,0.11111111111111101,0.5555555555555544,0.6274603174603173,0.386984126984127,0.32411901069800003,20.1,673136.0
1988_35_37,0.9222222222222202,57.28333333333333,0.11111111111111101,1.22222222222222,0.6984126984126983,0.3433333333333333,0.30466121961599996,20.1,673136.0
1988_36_38,5.866666666666654,38.338888888888896,0.11111111111111101,2.22222222222222,0.7293650793650794,0.3261904761904763,0.26852554061566697,20.1,673136.0
1989_18_20,6.766666666666676,59.094444444444434,0.11111111111111101,2.000000000000001,0.7293650793650798,0.4515873015873017,0.17836048679966698,28.2,744000.0
1989_19_21,15.00000000000003,61.344444444444434,0.11111111111111101,1.2222222222222212,0.648888888888889,0.49587301587301563,0.211493519154667,28.2,744000.0
1989_20_22,14.966666666666697,50.1,0.0,1.333333333333331,0.5657142857142857,0.5334920634920634,0.250194108025,28.2,744000.0
1989_21_23,27.000000000000032,47.5444444444444,0.0,1.333333333333331,0.49873015873015863,0.5873015873015873,0.29263809664,28.2,744000.0
1989_22_24,18.744444444444458,62.0444444444444,0.0,0.6666666666666653,0.4257142857142857,0.6141269841269844,0.33651227467533296,28.2,744000.0
1989_23_25,30.800000000000022,68.94999999999997,0.22222222222222232,0.22222222222222202,0.307936507936508,0.6150793650793653,0.39568309287799996,28.2,744000.0
1989_24_26,16.022222222222233,82.66666666666667,0.7777777777777789,0.11111111111111101,0.1857142857142857,0.5993650793650792,0.461984735172,28.2,744000.0
1989_25_27,18.022222222222243,90.69999999999997,1.1111111111111123,0.0,0.15253968253968267,0.5033333333333333,0.522821346550333,28.2,744000.0
1989_26_28,9.411111111111111,96.6555555555555,1.0000000000000009,0.0,0.13126984126984143,0.429206349206349,0.552592655478,28.2,744000.0
1989_27_29,7.822222222222223,105.32222222222207,2.000000000000001,0.0,0.21888888888888913,0.27825396825396836,0.5584110773056671,28.2,744000.0
1989_28_30,6.766666666666656,104.98888888888872,2.222222222222224,0.0,0.3744444444444444,0.16809523809523808,0.5461877122386671,28.2,744000.0
1989_29_31,8.78888888888889,108.1555555555553,3.000000000000003,0.0,0.5158730158730157,0.09650793650793676,0.5229446429156671,28.2,744000.0
1989_30_32,9.966666666666667,100.11666666666663,2.5555555555555567,0.0,0.6036507936507932,0.07888888888888902,0.48257231000766704,28.2,744000.0
1989_31_33,10.5,93.18888888888887,2.0,0.22222222222222232,0.6568253968253966,0.08873015873015888,0.4267818169923329,28.2,744000.0
1989_32_34,12.822222222222232,91.4500000000001,1.4444444444444435,0.22222222222222232,0.7319047619047621,0.11460317460317453,0.37000261720166705,28.2,744000.0
1989_33_35,24.177777777777766,78.88333333333334,0.3333333333333333,0.22222222222222232,0.7204761904761908,0.24095238095238092,0.323361448621,28.2,744000.0
1989_34_36,27.400000000000002,69.21666666666667,0.3333333333333333,0.3333333333333333,0.647936507936508,0.39079365079365064,0.291000814604,28.2,744000.0
1989_35_37,19.09999999999999,53.8111111111111,0.0,1.11111111111111,0.5961904761904764,0.5077777777777777,0.270862708149333,28.2,744000.0
1989_36_38,9.555555555555566,41.99444444444443,0.0,2.0,0.586031746031746,0.5438095238095236,0.25813005201699996,28.2,744000.0
1990_18_20,11.211111111111101,19.994444444444444,0.0,4.555555555555556,0.5826984126984127,0.7757142857142852,0.14427996205066698,33.6,806149.0
1990_19_21,12.444444444444434,34.683333333333344,0.0,3.0,0.5873015873015873,0.7730158730158726,0.184170540125,33.6,806149.0
1990_20_22,13.755555555555546,54.54444444444446,0.0,1.2222222222222232,0.5847619047619047,0.755238095238095,0.227507724016,33.6,806149.0
1990_21_23,10.111111111111109,69.75,0.0,0.3333333333333333,0.5603174603174604,0.7357142857142857,0.271981967481333,33.6,806149.0
1990_22_24,10.78888888888889,70.3555555555555,0.0,0.44444444444444436,0.5306349206349205,0.7000000000000001,0.316686649000667,33.6,806149.0
1990_23_25,9.044444444444444,79.0055555555555,0.22222222222222232,0.11111111111111101,0.451111111111111,0.6642857142857145,0.37050318971466706,33.6,806149.0
1990_24_26,11.333333333333343,91.32777777777763,0.6666666666666656,0.11111111111111101,0.388095238095238,0.59984126984127,0.4306053260053329,33.6,806149.0
1990_25_27,21.677777777777788,92.29444444444432,0.6666666666666656,0.0,0.2831746031746033,0.5812698412698413,0.48370355285133293,33.6,806149.0
1990_26_28,19.944444444444457,91.57777777777771,0.4444444444444433,0.0,0.2053968253968257,0.5414285714285713,0.525555733307333,33.6,806149.0
1990_27_29,16.188888888888894,78.92777777777783,0.0,0.0,0.15333333333333368,0.4766666666666663,0.554375303432,33.6,806149.0
1990_28_30,10.999999999999991,87.83888888888907,0.22222222222222232,0.0,0.204761904761905,0.36365079365079334,0.572240844702,33.6,806149.0
1990_29_31,10.477777777777767,88.78333333333349,0.22222222222222232,0.0,0.2841269841269844,0.2623809523809523,0.568772107174667,33.6,806149.0
1990_30_32,8.066666666666658,95.5055555555557,0.888888888888889,0.0,0.4436507936507937,0.1741269841269842,0.5460312003143329,33.6,806149.0
1990_31_33,4.266666666666657,87.20000000000005,0.7777777777777777,0.0,0.5315873015873017,0.11238095238095254,0.507862567475,33.6,806149.0
1990_32_34,14.433333333333323,85.87222222222225,1.111111111111111,0.0,0.6184126984126984,0.10142857142857153,0.46746840383433297,33.6,806149.0
1990_33_35,14.077777777777767,83.12222222222223,0.8888888888888876,0.0,0.5739682539682539,0.14126984126984132,0.4275238590636671,33.6,806149.0
1990_34_36,10.888888888888891,82.01666666666667,0.8888888888888876,0.0,0.5887301587301587,0.15650793650793635,0.390129293028333,33.6,806149.0
1990_35_37,0.488888888888889,70.29444444444444,0.5555555555555544,0.3333333333333333,0.6357142857142857,0.13460317460317436,0.35706305165700003,33.6,806149.0
1990_36_38,1.511111111111109,55.88888888888889,0.11111111111111101,0.8888888888888898,0.750952380952381,0.09476190476190449,0.324129512219333,33.6,806149.0
1991_18_20,14.577777777777767,33.644444444444446,0.0,2.999999999999998,0.5723809523809528,0.511904761904762,0.17538364249033303,33.1,926921.0
1991_19_21,16.488888888888866,59.8833333333333,0.22222222222222202,0.8888888888888878,0.590952380952381,0.5433333333333333,0.211441921026,33.1,926921.0
1991_20_22,9.611111111111088,70.6944444444444,0.22222222222222202,0.11111111111111101,0.5725396825396828,0.5798412698412702,0.260412385906333,33.1,926921.0
1991_21_23,15.099999999999953,83.86666666666663,0.22222222222222202,0.0,0.5595238095238096,0.576984126984127,0.320377142016,33.1,926921.0
1991_22_24,15.222222222222188,83.95,0.0,0.0,0.5096825396825401,0.5920634920634921,0.37536532207933293,33.1,926921.0
1991_23_25,15.088888888888858,82.28333333333336,0.0,0.11111111111111101,0.4363492063492063,0.5676190476190476,0.42642478817033297,33.1,926921.0
1991_24_26,28.155555555555527,78.71111111111112,0.0,0.11111111111111101,0.32111111111111096,0.570952380952381,0.47049414073999996,33.1,926921.0
1991_25_27,28.28888888888886,79.11666666666669,0.0,0.11111111111111101,0.20380952380952366,0.590952380952381,0.5163203978146671,33.1,926921.0
1991_26_28,36.28888888888887,87.1277777777778,0.3333333333333333,0.0,0.13412698412698434,0.6219047619047621,0.559547773743,33.1,926921.0
1991_27_29,18.777777777777775,94.09444444444448,1.0,0.0,0.08507936507936537,0.5990476190476194,0.589772094088333,33.1,926921.0
1991_28_30,15.20000000000001,96.03888888888888,1.0,0.0,0.09095238095238105,0.48301587301587334,0.589907727287667,33.1,926921.0
1991_29_31,9.000000000000009,92.54444444444437,0.6666666666666666,0.0,0.11730158730158735,0.35793650793650805,0.564732188307667,33.1,926921.0
1991_30_32,7.355555555555566,91.73333333333336,0.8888888888888898,0.0,0.2425396825396826,0.23174603174603167,0.5262512971506671,33.1,926921.0
1991_31_33,6.966666666666676,98.11111111111107,1.6666666666666667,0.0,0.38904761904761925,0.15238095238095237,0.49787319658466705,33.1,926921.0
1991_32_34,4.833333333333333,103.63333333333333,2.1111111111111103,0.0,0.5914285714285713,0.08492063492063497,0.45800879052566706,33.1,926921.0
1991_33_35,6.577777777777777,104.20555555555534,2.3333333333333304,0.0,0.7214285714285712,0.06523809523809526,0.409584182288,33.1,926921.0
1991_34_36,14.066666666666668,88.44999999999986,1.5555555555555536,0.3333333333333333,0.8223809523809522,0.07555555555555556,0.35617702751333297,33.1,926921.0
1991_35_37,15.655555555555543,75.72222222222207,1.11111111111111,0.5555555555555557,0.7639682539682539,0.16412698412698395,0.314711604017667,33.1,926921.0
1991_36_38,17.655555555555534,45.4833333333333,0.0,1.9999999999999991,0.6934920634920633,0.27761904761904727,0.281170275133667,33.1,926921.0
1992_18_20,11.67777777777779,36.988888888888894,0.5555555555555566,3.111111111111113,0.5998412698412694,0.6596825396825396,0.138835273334,26.5,915994.0
1992_19_21,15.611111111111134,36.99444444444443,1.1111111111111132,3.77777777777778,0.594285714285714,0.6726984126984127,0.174258694016333,26.5,915994.0
1992_20_22,10.533333333333355,39.849999999999966,0.5555555555555566,3.0,0.573968253968254,0.6904761904761904,0.215787071024333,26.5,915994.0
1992_21_23,9.144444444444458,48.633333333333304,0.6666666666666675,1.7777777777777766,0.5555555555555557,0.677936507936508,0.256019066313333,26.5,915994.0
1992_22_24,3.9777777777777814,62.00555555555557,0.44444444444444436,0.8888888888888874,0.5446031746031746,0.6338095238095237,0.296262511859333,26.5,915994.0
1992_23_25,7.777777777777793,63.127777777777794,0.44444444444444436,0.7777777777777771,0.536190476190476,0.5753968253968254,0.34406707887599997,26.5,915994.0
1992_24_26,7.033333333333346,71.2,0.3333333333333333,0.44444444444444403,0.45999999999999996,0.5184126984126983,0.39124999182133297,26.5,915994.0
1992_25_27,9.700000000000022,60.24444444444443,0.0,0.333333333333333,0.3684126984126983,0.4484126984126983,0.42936186083033295,26.5,915994.0
1992_26_28,17.277777777777825,63.49444444444447,0.0,0.0,0.250952380952381,0.43809523809523804,0.45457024569,26.5,915994.0
1992_27_29,22.100000000000065,66.40000000000003,0.0,0.0,0.22873015873015867,0.41015873015873,0.48173118722833297,26.5,915994.0
1992_28_30,26.133333333333397,74.89999999999999,0.0,0.0,0.198095238095238,0.4114285714285713,0.5138092190926671,26.5,915994.0
1992_29_31,15.911111111111142,76.7611111111111,0.0,0.0,0.1842857142857143,0.35253968253968265,0.5393927176366671,26.5,915994.0
1992_30_32,11.555555555555566,79.57777777777773,0.0,0.0,0.2122222222222223,0.2763492063492063,0.549589714397667,26.5,915994.0
1992_31_33,4.777777777777776,80.22777777777777,0.3333333333333333,0.0,0.31396825396825434,0.1865079365079365,0.5467381260833329,26.5,915994.0
1992_32_34,10.711111111111101,76.56111111111109,0.7777777777777767,0.22222222222222232,0.48333333333333367,0.11682539682539671,0.528904432885,26.5,915994.0
1992_33_35,11.53333333333331,62.950000000000024,0.7777777777777767,0.5555555555555557,0.5142857142857147,0.11984126984126968,0.49649365001466705,26.5,915994.0
1992_34_36,27.066666666666634,47.99444444444447,0.4444444444444433,0.999999999999999,0.45571428571428596,0.1857142857142855,0.4522465927306671,26.5,915994.0
1992_35_37,23.622222222222202,37.1111111111111,0.0,1.4444444444444435,0.2722222222222223,0.29238095238095196,0.41053108908266706,26.5,915994.0
1992_36_38,23.422222222222214,29.888888888888868,0.0,2.3333333333333335,0.24650793650793634,0.3828571428571426,0.37387558478066707,26.5,915994.0
1993_18_20,2.1555555555555537,47.07222222222223,0.3333333333333333,1.5555555555555536,0.6653968253968253,0.616031746031746,0.20272274020999997,24.9,682115.0
1993_19_21,6.366666666666667,35.85000000000003,0.3333333333333333,2.22222222222222,0.6668253968253967,0.5934920634920634,0.24287867962200002,24.9,682115.0
1993_20_22,9.822222222222234,29.838888888888903,0.0,2.3333333333333335,0.6133333333333333,0.5950793650793651,0.279594431904,24.9,682115.0
1993_21_23,17.655555555555566,39.983333333333334,0.0,1.88888888888889,0.557777777777778,0.6053968253968254,0.319712359734667,24.9,682115.0
1993_22_24,12.20000000000001,58.099999999999966,0.11111111111111101,1.0000000000000009,0.5063492063492067,0.6153968253968254,0.36504150227399995,24.9,682115.0
1993_23_25,20.900000000000013,65.0833333333333,0.11111111111111101,0.11111111111111101,0.39253968253968297,0.6374603174603174,0.40822951876233293,24.9,682115.0
1993_24_26,42.47777777777781,64.32777777777771,0.11111111111111101,0.11111111111111101,0.24476190476190504,0.6876190476190477,0.44695456210966705,24.9,682115.0
1993_25_27,47.711111111111165,58.65555555555554,0.0,0.0,0.12000000000000006,0.7550793650793652,0.47965850754100003,24.9,682115.0
1993_26_28,40.62222222222227,61.388888888888864,0.0,0.0,0.09777777777777774,0.7684126984126985,0.510629243956,24.9,682115.0
1993_27_29,17.055555555555568,66.21111111111112,0.0,0.11111111111111101,0.09936507936507939,0.7317460317460317,0.533441234010667,24.9,682115.0
1993_28_30,12.799999999999988,77.10555555555557,0.0,0.11111111111111101,0.10746031746031735,0.6119047619047616,0.547942241633,24.9,682115.0
1993_29_31,33.244444444444454,79.96666666666671,0.0,0.11111111111111101,0.13952380952380936,0.5147619047619044,0.555601419831667,24.9,682115.0
1993_30_32,32.90000000000003,81.01666666666671,0.22222222222222232,0.0,0.18222222222222198,0.435238095238095,0.559285716622333,24.9,682115.0
1993_31_33,53.32222222222223,77.86666666666666,0.22222222222222232,0.0,0.1693650793650793,0.482063492063492,0.543833408578,24.9,682115.0
1993_32_34,30.011111111111102,77.2611111111111,0.22222222222222232,0.0,0.10539682539682531,0.542857142857143,0.49447650080166705,24.9,682115.0
1993_33_35,28.211111111111098,64.81111111111109,0.0,0.3333333333333333,0.0341269841269841,0.5992063492063493,0.43076636568866705,24.9,682115.0
1993_34_36,13.088888888888897,52.66111111111113,0.0,1.11111111111111,0.0219047619047619,0.5680952380952379,0.372159950273333,24.9,682115.0
1993_35_37,11.944444444444457,36.449999999999996,0.0,2.22222222222222,0.19301587301587295,0.5493650793650793,0.338075872673333,24.9,682115.0
1993_36_38,9.944444444444455,32.300000000000004,0.0,2.4444444444444433,0.37904761904761913,0.5492063492063494,0.31134032780466697,24.9,682115.0
1994_18_20,9.555555555555545,37.24444444444446,0.0,2.222222222222224,0.747777777777778,0.516984126984127,0.185326757614667,27.5,482200.0
1994_19_21,14.233333333333322,50.49444444444447,0.0,0.6666666666666675,0.6720634920634924,0.5647619047619051,0.23862948277566698,27.5,482200.0
1994_20_22,19.6111111111111,56.422222222222196,0.0,0.22222222222222202,0.5684126984126987,0.6165079365079367,0.295694235613667,27.5,482200.0
1994_21_23,11.58888888888889,68.21666666666667,0.0,0.11111111111111101,0.5003174603174606,0.63,0.350586200804667,27.5,482200.0
1994_22_24,22.155555555555555,62.24444444444443,0.0,0.44444444444444403,0.41158730158730167,0.6757142857142857,0.397244325579667,27.5,482200.0
1994_23_25,25.95555555555556,70.83333333333337,0.0,0.44444444444444403,0.2834920634920633,0.7095238095238097,0.445613759937,27.5,482200.0
1994_24_26,40.02222222222223,71.25,0.0,0.44444444444444403,0.14952380952380934,0.7890476190476194,0.492110903916,27.5,482200.0
1994_25_27,28.822222222222237,79.9722222222222,0.0,0.11111111111111101,0.09539682539682526,0.768730158730159,0.530621667157667,27.5,482200.0
1994_26_28,23.733333333333334,75.6833333333333,0.0,0.0,0.06968253968253967,0.7360317460317464,0.556784820231333,27.5,482200.0
1994_27_29,17.855555555555537,80.33888888888889,0.0,0.0,0.043174603174603136,0.6506349206349207,0.569599506003333,27.5,482200.0
1994_28_30,13.922222222222201,86.77222222222225,0.22222222222222232,0.0,0.06476190476190487,0.5374603174603173,0.571473962116,27.5,482200.0
1994_29_31,13.044444444444432,90.11666666666673,0.22222222222222232,0.0,0.17333333333333348,0.41317460317460303,0.572604426342,27.5,482200.0
1994_30_32,8.555555555555566,82.10000000000004,0.22222222222222232,0.11111111111111101,0.2555555555555557,0.30238095238095236,0.557970971963333,27.5,482200.0
1994_31_33,11.844444444444465,79.18888888888891,0.3333333333333333,0.11111111111111101,0.29746031746031737,0.24238095238095234,0.523412696699,27.5,482200.0
1994_32_34,18.488888888888898,74.16666666666663,0.3333333333333333,0.11111111111111101,0.31079365079365073,0.231269841269841,0.468906981385,27.5,482200.0
1994_33_35,22.122222222222202,66.20555555555553,0.3333333333333333,0.11111111111111101,0.3803174603174604,0.272222222222222,0.41717191088399996,27.5,482200.0
1994_34_36,18.533333333333303,63.7111111111111,0.0,0.11111111111111101,0.4839682539682541,0.34444444444444433,0.366686913992,27.5,482200.0
1994_35_37,9.01111111111109,65.89999999999999,0.0,0.11111111111111101,0.571904761904762,0.3971428571428573,0.304914195047,27.5,482200.0
1994_36_38,2.3222222222222233,70.37777777777781,0.0,0.5555555555555566,0.6365079365079364,0.40174603174603196,0.243055082278333,27.5,482200.0
1995_18_20,7.555555555555554,23.455555555555566,0.0,3.6666666666666696,0.5990476190476189,0.7988888888888886,0.17260184512733298,31.0,506129.0
1995_19_21,7.344444444444444,30.150000000000002,0.0,3.000000000000003,0.6142857142857143,0.781269841269841,0.210585739523333,31.0,506129.0
1995_20_22,6.177777777777777,58.01666666666667,0.6666666666666666,2.111111111111113,0.6404761904761903,0.753968253968254,0.259071210783,31.0,506129.0
1995_21_23,5.800000000000009,69.91111111111114,0.7777777777777777,1.3333333333333333,0.6136507936507937,0.732063492063492,0.318558978637333,31.0,506129.0
1995_22_24,12.666666666666677,97.77777777777779,1.7777777777777777,0.4444444444444433,0.5815873015873017,0.7163492063492063,0.38257550626500003,31.0,506129.0
1995_23_25,14.53333333333334,90.75555555555557,1.111111111111111,0.4444444444444433,0.48095238095238096,0.7184126984126983,0.4316934340956671,31.0,506129.0
1995_24_26,29.40000000000001,92.56111111111109,1.0,0.0,0.3455555555555556,0.7276190476190477,0.471189253116,31.0,506129.0
1995_25_27,25.355555555555565,79.57777777777777,0.0,0.0,0.211904761904762,0.6965079365079366,0.5104509176563329,31.0,506129.0
1995_26_28,23.733333333333345,83.43333333333332,0.3333333333333333,0.0,0.16301587301587334,0.6217460317460319,0.545836251513,31.0,506129.0
1995_27_29,12.100000000000009,88.39999999999999,0.3333333333333333,0.0,0.17904761904761934,0.5020634920634923,0.571789825629,31.0,506129.0
1995_28_30,14.066666666666686,90.50555555555557,0.5555555555555557,0.0,0.174920634920635,0.42809523809523836,0.582799849511,31.0,506129.0
1995_29_31,14.211111111111132,89.02222222222225,0.888888888888889,0.0,0.15476190476190468,0.362063492063492,0.586431396604333,31.0,506129.0
1995_30_32,34.511111111111134,86.92777777777779,0.888888888888889,0.0,0.18873015873015864,0.336190476190476,0.5793357149866669,31.0,506129.0
1995_31_33,41.300000000000004,85.28333333333332,0.6666666666666666,0.0,0.15015873015873019,0.42825396825396794,0.560656004841667,31.0,506129.0
1995_32_34,45.97777777777776,76.2444444444444,0.0,0.0,0.0785714285714287,0.5484126984126982,0.534560342853333,31.0,506129.0
1995_33_35,20.177777777777756,76.69999999999997,0.0,0.0,-0.009206349206349168,0.6331746031746032,0.506114208133,31.0,506129.0
1995_34_36,8.433333333333325,67.2722222222222,0.0,0.4444444444444433,0.0952380952380953,0.5601587301587303,0.4762958190203329,31.0,506129.0
1995_35_37,3.300000000000001,65.00555555555553,0.0,0.5555555555555544,0.3601587301587302,0.4857142857142856,0.43883539437933294,31.0,506129.0
1995_36_38,1.1555555555555543,43.0111111111111,0.0,2.333333333333331,0.6212698412698414,0.42492063492063464,0.39730166519433296,31.0,506129.0
1996_18_20,9.144444444444444,13.5,0.0,4.888888888888889,0.6084126984126984,0.732063492063492,0.161849504367333,34.2,634072.0
1996_19_21,9.977777777777776,18.738888888888876,0.0,3.444444444444445,0.604126984126984,0.7334920634920635,0.174301956358,34.2,634072.0
1996_20_22,10.088888888888887,37.3833333333333,0.0,1.2222222222222232,0.6134920634920634,0.7246031746031748,0.200454120456667,34.2,634072.0
1996_21_23,5.377777777777776,58.96666666666664,0.6666666666666666,1.2222222222222232,0.6253968253968254,0.7030158730158732,0.250585595577,34.2,634072.0
1996_22_24,5.766666666666663,82.4388888888889,0.6666666666666666,0.3333333333333333,0.6395238095238094,0.6574603174603176,0.313189858344,34.2,634072.0
1996_23_25,8.444444444444443,80.87222222222226,0.6666666666666666,0.22222222222222232,0.6063492063492063,0.6295238095238096,0.38119105571366707,34.2,634072.0
1996_24_26,8.766666666666664,79.45000000000003,0.0,0.0,0.5592063492063494,0.5936507936507937,0.4420131972386671,34.2,634072.0
1996_25_27,17.366666666666674,81.4777777777778,0.4444444444444433,0.0,0.43666666666666704,0.5790476190476189,0.49709407531000005,34.2,634072.0
1996_26_28,17.555555555555575,89.73333333333336,0.4444444444444433,0.0,0.30968253968254006,0.5626984126984126,0.540322547191333,34.2,634072.0
1996_27_29,34.13333333333333,91.0055555555556,0.4444444444444433,0.0,0.2006349206349207,0.571111111111111,0.570318084862667,34.2,634072.0
1996_28_30,36.97777777777777,83.90555555555557,0.0,0.0,0.13380952380952374,0.6166666666666667,0.590056413779333,34.2,634072.0
1996_29_31,33.5222222222222,88.5333333333333,0.0,0.0,0.07269841269841258,0.6344444444444443,0.601406578990333,34.2,634072.0
1996_30_32,18.255555555555564,85.1222222222222,0.0,0.0,0.021746031746031732,0.593015873015873,0.607051074688333,34.2,634072.0
1996_31_33,16.844444444444463,88.5,0.0,0.0,0.04460317460317467,0.47285714285714264,0.610148467301333,34.2,634072.0
1996_32_34,15.155555555555578,83.21666666666667,0.0,0.0,0.07190476190476197,0.40888888888888864,0.5916655510843329,34.2,634072.0
1996_33_35,11.966666666666677,93.11666666666677,0.8888888888888898,0.0,0.1366666666666668,0.33587301587301566,0.552377439722667,34.2,634072.0
1996_34_36,5.655555555555544,81.58333333333344,0.8888888888888898,0.0,0.20904761904761915,0.29206349206349197,0.49574822521033296,34.2,634072.0
1996_35_37,5.5222222222222115,70.25000000000013,0.8888888888888898,0.22222222222222202,0.35031746031746036,0.2084126984126983,0.450814983479,34.2,634072.0
1996_36_38,12.388888888888879,50.827777777777804,0.0,0.22222222222222202,0.5653968253968253,0.18714285714285697,0.41028831746666705,34.2,634072.0
1997_18_20,10.733333333333333,18.23333333333331,0.0,4.999999999999997,0.603968253968254,0.555079365079365,0.17909344718166698,30.9,601570.0
1997_19_21,10.644444444444444,20.57777777777777,0.0,4.33333333333333,0.6060317460317464,0.56984126984127,0.19677100794966698,30.9,601570.0
1997_20_22,5.9111111111111105,36.1555555555556,0.11111111111111101,2.999999999999998,0.6261904761904763,0.5604761904761904,0.22509252788933298,30.9,601570.0
1997_21_23,4.122222222222223,63.433333333333394,0.3333333333333333,1.2222222222222212,0.642063492063492,0.5265079365079364,0.265346985310667,30.9,601570.0
